Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C109, C114, C115, C116, C118, C12, C124, C13, C14, C148, C15, C16, C20, C22, C23, C27, C42, C49, C80, C81, C82, C84",0603,23,10uF,
"C10, C11",0201,2,330pF,
"C100, C113, C119, C120, C121, C122, C123, C125, C126, C127, C128, C130, C131, C132, C133, C134, C135, C136, C137, C138, C140, C143, C144, C145, C149, C150, C151, C152, C154, C155, C156, C17, C2, C24, C30, C31, C32, C33, C34, C36, C37, C38, C39, C40, C41, C43, C44, C47, C48, C50, C51, C52, C53, C54, C55, C56, C57, C58, C61, C62, C63, C64, C67, C69, C70, C71, C72, C74, C75, C76, C85, C86, C87, C88, C89, C9, C90, C91, C92, C93, C96, C97, C98, C99",0201,84,100nF,
"C101, C102, C103, C105, C106, C107, C108, C94",0201,8,220nF,
"C104, C112, C153, C21, C28, C29, C35, C59, C60, C68, C73, C79, C95",0201,13,1uF,
"C110, C111, C45, C46, C65, C66, C77, C78",0201,8,18pF,
"C117, C129, C146, C147, C3, C4, C83",0201,7,10nF,
"C18, C19, C5, C6, C7, C8",0805,6,22uF,
"C25, C26",0805,2,100uF,
D1,0603,1,3V3 FLT,
D2,0603,1,3V3 ON,
D3,0603,1,1V8 ON,
D4,0603,1,1V8 FLT,
D5,0603,1,MCU Heartbeat,
"D6, D7",0603,2,1V1 FLT,
"FB1, FB2",0603,2,600R/0.5A,
J1,GCT_USB4056-03-A_REVA2,1,USB_C_Receptacle,
"J2, J3",SAMTEC_LSHM-130-XX.X-XXX-DV-A-S-K-XX,2,LSHM-130-XX.X-XXX-DV-A-S-K-XX,
J4,HDMI_A_Molex_208658-1001_Horizontal,1,HDMI_A,
J5,TE_2-1734839-2_1x22-1MP_P0.5mm_Horizontal,1,Cam FPC,
Q1,SOT-23,1,IRLML6244,
"R1, R16, R17, R2, R23, R29, R4, R5, R51, R6, R72",0201,11,3.3K,
R10,0201,1,198.2K,
"R100, R101, R102, R3, R34, R52, R53, R55, R57, R58, R59, R61, R63, R67, R68, R7, R8, R83, R84, R85, R86, R9, R99",0201,23,33R,
R103,0201,1,1.6K,
"R104, R105, R106, R107, R108, R109, R110, R111, R112, R113, R114, R115, R116, R117, R24, R28, R31, R35, R45, R48, R64, R65, R66, R69, R75, R79, R81",0201,27,1K,
R11,0201,1,9.4K,
R12,0201,1,2.28K,
R13,0201,1,191K,
R14,0201,1,162K,
R15,0201,1,190K,
R18,0201,1,38K,
R19,0201,1,9.5K,
"R20, R21, R22, R27, R33, R37, R38, R39, R40, R43, R44, R46, R50, R71, R91, R92, R93, R94, R95, R96, R97, R98",0201,22,10K,
R25,0201,1,23.2K,
R26,0201,1,19.8K,
R30,0201,1,8.06K,
R32,0201,1,26.7K,
R36,0201,1,12K,
"R41, R73, R74",0201,3,2.2K,
R42,0201,1,5.1K,
R47,0201,1,10K,RC0402JR-0710KL
"R49, R70",0201,2,3.74K,
R54,0201,1,44.2K,
R56,0201,1,1.13K,
R60,0201,1,9.53K,
"R62, R76",0201,2,1M,
"R77, R78, R80",0201,3,100K,
R87,0201,1,7K,
"R89, R90",0201,2,4.7K,
SW1,SW_Push_SPST_NO_Alps_SKRK,1,RST,
"TP1, TP2, TP3, TP4",MountingHole_2.2mm_M2_Pad_Via,4,MH,
"TP5, TP6",TestPoint_Pad_D1.0mm,2,TestPoint,
U1,TPS25730DREFR,1,TPS25730D,
"U10, U17, U25, U26",USON-10_2.5x1.0mm_P0.5mm,4,TPD4E02B04DQA,
U11,SOT-23-6,1,93LCxxBxxOT,
U12,74AVC2T245GU,1,74AVC2T245GU,
U13,QFN-56-1EP_7x7mm_P0.4mm_EP4x4mm,1,FT600Q,
U14,USON-8_UX_2x3x0p6_WIN,1,W25Q16JVUXIQ TR,
U15,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,1,RP2040,
"U16, U19",VSON-10-1EP_3x3mm_P0.5mm_EP1.65x2.4mm_ThermalVias,2,TPS74801AWDRC,
U18,QFN-64-1EP_9x9mm_P0.5mm_EP6x6mm_ThermalVias,1,TUSB8041,
U2,INA700_AYWFR,1,INA700AYWFR,
U20,HWSON8_SOT1069-2_NXP,1,PCA9517ATP,
U21,USON-20_2x4mm_P0.4mm,1,TXB0108DQSR,
U23,QFN-28-1EP_3x6mm_P0.5mm_EP1.7x4.75mm,1,SN65DPHY440SS,
U24,WQFN_142RNQT_TEX,1,TUSB1142,
U27,SOT-89-3,1,L78L05_SOT89,
"U3, U6",RDN0011A-MFG,2,TPSM33625RDNR,
U4,Texas_DRT-3,1,TPD2EUSB30A,
U5,QFN-40-1EP_5x5mm_P0.4mm_EP3.6x3.6mm,1,SN75DP159RSB,
U7,15DSBGA-TEXAS,1,TPD5S116,
U8,74AVC4T774BQX,1,74AVC4T774BQX,
U9,QFN-64-1EP_9x9mm_P0.5mm_EP4.35x4.35mm,1,FT2232HQ,
"Y1, Y3",Oscillator_SMD_Abracon_ASE-4Pin_3.2x2.5mm,2,12Mhz,
Y2,Oscillator_SMD_Abracon_ASE-4Pin_3.2x2.5mm,1,30Mhz,
Y4,Oscillator_SMD_Abracon_ASE-4Pin_3.2x2.5mm,1,24Mhz,
